amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
2146.21,2146.21,4.24,nonfiction,10731.05,Knopf,6438.63,11.99,121,Random House LLC,384,big five,895
798.33,1862.77,5.0,genre fiction,2661.1,(Indie Publisher),0.0,2.99,122,"Amazon Digital Services,  Inc.",39,indie,890
354.22,354.22,4.23,fiction,1771.1,HarperCollins e-books,1062.66,1.99,122,HarperCollins Publishers,152,big five,890
1059.345,2471.805,4.61,genre fiction,3531.15,(Indie Publisher),0.0,3.99,123,"Amazon Digital Services,  Inc.",218,indie,885
1305.0,1305.0,4.58,genre fiction,6525.0,Scribner,3915.0,7.5,126,Simon and Schuster Digital Sales Inc,4938,big five,870
1035.405,2415.945,4.49,genre fiction,3451.35,(Indie Publisher),0.0,3.99,127,"Amazon Digital Services,  Inc.",100,indie,865
1374.28,1374.28,4.29,genre fiction,6871.4,Vintage,4122.84,7.99,128,Random House LLC,9263,big five,860
168.3,168.3,0.0,genre fiction,841.5,(Single-Author Publisher),504.9,0.99,130,"Amazon Digital Services,  Inc.",0,single author,850
2026.31,2026.31,4.34,genre fiction,10131.55,"Little, Brown and Company",6078.93,11.99,131,Hachette Book Group,20,big five,845
1342.32,1342.32,4.28,genre fiction,6711.6,Vintage,4026.96,7.99,132,Random House LLC,9263,big five,840
530.8875,285.8625,4.04,genre fiction,816.75,(Indie Publisher),0.0,0.99,135,"Amazon Digital Services,  Inc.",234,indie,825
328.35,328.35,4.31,nonfiction,1641.75,Harper,985.05,1.99,135,HarperCollins Publishers,271,big five,825
1139.37,1139.37,4.77,nonfiction,5696.85,Random House,3418.11,6.99,137,Random House LLC,6544,big five,815
726.57,1695.33,4.77,genre fiction,2421.9,(Indie Publisher),0.0,2.99,138,"Amazon Digital Services,  Inc.",61,indie,810
1714.65,1714.65,4.16,genre fiction,8573.25,Putnam Adult,5143.95,10.65,139,Penguin Group (USA) LLC,251,big five,805
957.6,2234.4,4.78,genre fiction,3192.0,(Indie Publisher),0.0,3.99,140,"Amazon Digital Services,  Inc.",1325,indie,800
