Agricultural Land,Agricultural Land Percent,Arable Land,Arable Land Percent,Birth Rate,Country,Death Rate,Fertility Rate,Land Area,"Life Expectancy at Birth, Female","Life Expectancy at Birth, Male","Life Expectancy at Birth, Total",Mobile Cellular Subscriptions,Mobile Cellular Subscriptions per 100 People,Population Density,Population Growth,Rural Population,Rural Population Growth,Surface Area,Telephone Lines,Telephone Lines per 100 People,Total Population,Urban Population Percent,Urban Population Percent Growth,Year
669030.0,7.35722509789949,1.82782057091074,4.8797439052687,15.4,Canada,7.0,1.754,9093510.0,78.59,71.32,74.8663414634146,0.0,0.0,2.66970619705702,0.997669360128831,5918004,0.833711883207287,9984670.0,9595000.0,39.5623509247736,24277000.0,75.623,1.05057823382459,1980
663960.0,7.30147104913284,1.81852559671451,4.91812292503115,15.4,Canada,7.1,1.74,9093510.0,78.73,71.6,75.0780487804878,0.0,0.0,2.70445625506543,1.29324495269762,5985198,1.12901912876715,9984670.0,9979000.0,40.7122402233506,24593000.0,75.663,1.34612555337482,1981
658890.0,7.2457170003662,1.81012048192771,4.95650194479359,15.3,Canada,7.0,1.7,9093510.0,79.11,72.02,75.4785365853659,0.0,0.0,2.73821659623182,1.24059538707161,6047712,1.03905975263073,9984670.0,10294500.0,41.5707605456352,24900000.0,75.712,1.30533307034896,1982
662760.0,7.28827482457269,1.78977858900087,4.96024087508564,15.1,Canada,7.1,1.69,9093510.0,79.23,72.3,75.6804878048781,0.0,0.0,2.7714270947082,1.20555529768394,6080235,0.53633278511322,9984670.0,10335442.0,41.3206415823718,25202000.0,75.874,1.41929292397801,1983
666640.0,7.33094261731719,1.77321653048397,4.96386983683968,15.0,Canada,7.0,1.68,9093510.0,79.55,72.69,76.0363414634146,0.0,0.0,2.79935910336053,1.00281151479297,6100530,0.333230610394065,9984670.0,10468344.0,41.4293462103604,25456000.0,76.035,1.21478517874826,1984
670510.0,7.37350044152368,1.75756750447436,4.96760876713172,15.0,Canada,7.0,1.65,9093510.0,79.78,73.02,76.3175609756098,0.0,0.0,2.82641136370884,0.961733828951842,6118361,0.291859754823091,9984670.0,11827271.0,46.30512952141,25702000.0,76.195,1.17194058792304,1985
674390.0,7.41616823426818,1.7425796006476,4.97123772888577,14.9,Canada,7.0,1.67,9093510.0,79.73,73.04,76.3034146341464,12000.0,0.0464333822586404,2.85280381282915,0.929446703353191,6134245,0.259275600606004,9984670.0,12480666.0,48.2932946017014,25942000.0,76.354,1.13790549408036,1986
678250.0,7.45861608993667,1.72641581437948,4.97486669063981,14.5,Canada,7.2,1.675,9093510.0,79.8,73.24,76.44,60000.0,0.229211885874027,2.88161556978548,1.00487939511487,6157416,0.37702028142286,9984670.0,12948041.0,49.464081599737,26204000.0,76.502,1.19852374866416,1987
678120.0,7.45718649894265,1.7064406779661,4.98223458268589,14.4,Canada,7.2,1.68,9093510.0,80.12,73.52,76.739512195122,98364.0,0.370663165783137,2.91966468393393,1.31176768183179,6233409,1.22661651368043,9984670.0,13444317.0,50.6619606869591,26550000.0,76.522,1.33790777155719,1988
677980.0,7.45564693941063,1.68700501952036,4.98949250619398,14.5,Canada,7.3,1.68,9093510.0,80.2,73.58,76.8092682926829,202633.0,0.752880478510268,2.95760382954437,1.2910648037258,6309029,1.20584078299414,9984670.0,13975828.0,51.9270211279367,26895000.0,76.542,1.31719814909973,1989
677820.0,7.45388744280261,1.65959311881369,4.99675042970206,14.9,Canada,7.3,1.77,9093510.0,80.4,73.89,77.0656097560976,345178.0,1.26476557695453,3.01082860193699,1.78359004586196,6417090,1.69829619293388,9984670.0,14647789.0,53.6709156020756,27379000.0,76.562,1.80971568763228,1990
