Name,Number of Permits.1 unit,Number of Permits.2 units,Number of Permits.3-4 units,Number of Permits.5+ units,Valuations.1 unit,Valuations.2 units,Valuations.3-4 units,Valuations.5+ units,full,month,month name,year
South Dakota,431,28,19,192,56842,2732,1178,11033,2004/07,7,July,2004
Alaska,209,30,24,24,39795,3998,3468,739,2004/07,7,July,2004
Colorado,3383,196,84,275,653990,19312,7458,22806,2004/07,7,July,2004
Idaho,1388,22,203,97,231157,1916,11661,5443,2004/07,7,July,2004
New Jersey,1855,280,167,580,273062,25520,12404,40097,2004/07,7,July,2004
Washington,3346,132,114,690,560925,13895,11597,58486,2004/07,7,July,2004
North Carolina,6746,142,169,1928,1024552,10383,16483,124059,2004/07,7,July,2004
Maine,661,20,18,21,90857,1881,1530,2301,2004/07,7,July,2004
New York,2320,720,703,1813,428697,75836,59313,177998,2004/07,7,July,2004
Montana,237,24,90,118,33371,2670,4848,7028,2004/07,7,July,2004
Nevada,3505,14,137,146,443875,979,10197,7354,2004/07,7,July,2004
Hawaii,497,2,3,151,96511,203,400,36349,2004/07,7,July,2004
Mississippi,935,28,48,465,117038,1458,2587,27714,2004/08,8,August,2004
Oklahoma,1131,12,0,26,167567,960,0,1267,2004/08,8,August,2004
Minnesota,2995,66,75,939,514303,9454,9222,75241,2004/08,8,August,2004
Illinois,4889,110,208,927,824343,10927,19735,87083,2004/08,8,August,2004
Georgia,7712,64,148,1274,999201,7174,8049,87059,2004/08,8,August,2004
Arkansas,875,32,39,609,125191,2198,2459,35728,2004/08,8,August,2004
New Mexico,975,0,3,0,149306,0,132,0,2004/08,8,August,2004
Indiana,2912,88,76,266,461532,8267,5551,20971,2004/08,8,August,2004
Maryland,1914,6,15,783,296762,854,1271,50263,2004/08,8,August,2004
Texas,12742,204,314,2576,1706418,15583,13862,129103,2004/08,8,August,2004
Wyoming,217,4,41,10,50600,294,3667,463,2004/08,8,August,2004
Tennessee,3258,48,20,608,470447,2733,1050,29861,2004/08,8,August,2004
Iowa,1074,26,18,210,166111,2406,1269,13033,2004/08,8,August,2004
Wisconsin,2632,188,78,419,432312,18720,6905,29906,2004/08,8,August,2004
Arizona,7037,82,132,250,1123237,7479,10416,19327,2004/08,8,August,2004
Louisiana,1800,12,7,121,192903,621,427,6320,2004/08,8,August,2004
Michigan,4117,64,119,925,643021,5739,11004,61894,2004/08,8,August,2004
Kansas,965,24,18,33,144365,2075,1817,2275,2004/08,8,August,2004
Utah,2268,32,73,176,321941,3781,6845,15443,2004/08,8,August,2004
Virginia,4393,40,60,488,641582,3891,5269,26143,2004/08,8,August,2004
Oregon,2141,78,112,654,401075,7880,10445,12041,2004/08,8,August,2004
Connecticut,903,16,47,112,184456,1156,4266,8204,2004/08,8,August,2004
District of Columbia,19,0,0,145,2670,0,0,21434,2004/08,8,August,2004
New Hampshire,560,24,19,73,103860,2709,1707,6450,2004/08,8,August,2004
Massachusetts,1279,116,69,474,278459,11829,6159,70416,2004/08,8,August,2004
West Virginia,414,4,3,15,62059,155,135,663,2004/08,8,August,2004
South Carolina,3123,20,41,255,428466,1766,2770,44677,2004/08,8,August,2004
Vermont,226,14,6,20,33806,1342,549,1563,2004/08,8,August,2004
Delaware,739,0,0,65,87280,0,0,3320,2004/08,8,August,2004
North Dakota,266,2,4,103,35420,313,592,5173,2004/08,8,August,2004
California,13411,182,385,4031,2674498,19403,39961,348855,2004/08,8,August,2004
Pennsylvania,2835,48,97,396,437905,3704,10280,17224,2004/08,8,August,2004
Florida,15029,160,169,4670,2207750,13026,22426,433227,2004/08,8,August,2004
Kentucky,1639,30,69,635,209914,1775,4345,30666,2004/08,8,August,2004
Rhode Island,193,8,3,63,29162,633,290,3063,2004/08,8,August,2004
Nebraska,867,10,7,198,113726,1050,1121,13302,2004/08,8,August,2004
Missouri,2150,92,72,251,316681,7571,6197,20542,2004/08,8,August,2004
Ohio,3913,72,151,390,664935,6051,13748,31840,2004/08,8,August,2004
Alabama,2082,14,0,183,249899,685,0,13119,2004/08,8,August,2004
South Dakota,401,8,7,81,35554,632,478,7581,2004/08,8,August,2004
Alaska,198,20,28,15,41189,2162,3434,2350,2004/08,8,August,2004
Colorado,3243,56,145,421,616293,6911,14994,35155,2004/08,8,August,2004
Idaho,1293,24,154,45,218134,2318,8849,2176,2004/08,8,August,2004
New Jersey,2089,248,127,467,302803,24654,9148,32754,2004/08,8,August,2004
Washington,3069,106,127,834,514494,10409,10219,60893,2004/08,8,August,2004
North Carolina,6942,64,85,1039,1056302,5014,4967,60706,2004/08,8,August,2004
Maine,631,16,26,21,93579,1405,3345,1651,2004/08,8,August,2004
New York,2374,788,390,1573,470229,68240,28844,104075,2004/08,8,August,2004
Montana,209,16,53,149,28046,1183,5035,8510,2004/08,8,August,2004
Nevada,2831,2,0,71,469165,209,0,5506,2004/08,8,August,2004
Hawaii,555,4,28,168,125453,405,4623,27175,2004/08,8,August,2004
Mississippi,945,6,4,147,114752,323,87,6890,2004/09,9,September,2004
Oklahoma,1239,60,44,60,175454,4397,3100,3123,2004/09,9,September,2004
Minnesota,3008,50,103,1080,498546,6173,10243,79822,2004/09,9,September,2004
Illinois,4242,64,218,1615,761926,6240,15855,115188,2004/09,9,September,2004
Georgia,7679,44,60,732,972322,5811,4974,37193,2004/09,9,September,2004
Arkansas,951,22,35,346,136349,1228,4588,12791,2004/09,9,September,2004
New Mexico,1156,0,11,22,172513,0,518,2520,2004/09,9,September,2004
Indiana,2757,112,88,433,438257,10540,6537,23699,2004/09,9,September,2004
Maryland,1739,20,19,795,249702,1311,1743,84994,2004/09,9,September,2004
Texas,11482,218,76,3038,1539332,10767,2370,163908,2004/09,9,September,2004
Wyoming,264,2,43,10,48690,130,3338,463,2004/09,9,September,2004
Tennessee,3034,20,30,547,448419,1378,1753,29332,2004/09,9,September,2004
Iowa,1047,64,43,252,159968,6576,3159,14075,2004/09,9,September,2004
Wisconsin,2635,150,121,791,427590,16255,10794,64429,2004/09,9,September,2004
Arizona,6469,88,65,485,988961,6184,5403,31195,2004/09,9,September,2004
Louisiana,1597,26,14,47,179444,1481,745,2715,2004/09,9,September,2004
Michigan,4361,46,96,647,646996,4504,9322,45273,2004/09,9,September,2004
Kansas,976,24,11,184,152732,1801,1547,7509,2004/09,9,September,2004
Utah,1804,46,80,231,276046,4324,7113,16960,2004/09,9,September,2004
Virginia,4494,30,110,861,655360,2473,7825,48846,2004/09,9,September,2004
Oregon,1988,80,37,189,387521,7909,3637,13752,2004/09,9,September,2004
Connecticut,832,26,3,252,164086,2849,288,16119,2004/09,9,September,2004
District of Columbia,0,0,0,147,0,0,0,9738,2004/09,9,September,2004
New Hampshire,546,98,23,181,94087,8211,2281,12114,2004/09,9,September,2004
Massachusetts,1216,54,47,470,250698,5810,3891,42497,2004/09,9,September,2004
West Virginia,382,22,3,56,55180,1176,135,2626,2004/09,9,September,2004
South Carolina,2967,14,67,675,414542,856,4851,37552,2004/09,9,September,2004
Vermont,218,10,12,99,32318,878,953,8251,2004/09,9,September,2004
Delaware,577,18,4,149,68261,1303,299,7252,2004/09,9,September,2004
North Dakota,227,2,20,137,33448,252,2146,6818,2004/09,9,September,2004
California,12518,152,281,4566,2555015,21860,31928,371493,2004/09,9,September,2004
Pennsylvania,2711,28,148,1090,406729,2321,8919,71849,2004/09,9,September,2004
Florida,13079,166,271,4079,2003551,12080,27061,366271,2004/09,9,September,2004
Kentucky,1527,18,44,293,196397,1136,1798,16584,2004/09,9,September,2004
Rhode Island,176,4,0,85,29593,244,0,5008,2004/09,9,September,2004
Nebraska,726,20,3,58,91368,1918,83,2933,2004/09,9,September,2004
Missouri,1974,236,197,820,288023,20199,16454,62395,2004/09,9,September,2004
Ohio,3622,62,212,1150,609692,5924,16364,54517,2004/09,9,September,2004
Alabama,1860,22,24,302,224904,949,2120,25303,2004/09,9,September,2004
South Dakota,313,28,21,24,38990,2761,1711,2414,2004/09,9,September,2004
Alaska,172,52,0,107,34501,7267,0,14586,2004/09,9,September,2004
Colorado,3676,46,104,593,728131,6069,9639,46163,2004/09,9,September,2004
Idaho,1357,16,108,84,210602,1569,5231,14689,2004/09,9,September,2004
New Jersey,1920,220,84,931,289534,17692,4459,39992,2004/09,9,September,2004
Washington,3313,112,152,1518,549689,11893,15338,126201,2004/09,9,September,2004
North Carolina,5834,50,84,1054,919625,3787,6139,58600,2004/09,9,September,2004
Maine,753,22,14,15,109877,1958,1547,967,2004/09,9,September,2004
New York,2098,432,425,1542,394543,45163,35743,114114,2004/09,9,September,2004
Montana,230,28,44,193,35680,2256,4166,15978,2004/09,9,September,2004
Nevada,2875,0,143,566,386232,0,10536,22027,2004/09,9,September,2004
Hawaii,477,0,8,90,99608,0,786,7093,2004/09,9,September,2004
Mississippi,839,6,0,790,106591,333,0,29361,2004/10,10,October,2004
Oklahoma,1047,4,7,91,148795,309,533,4973,2004/10,10,October,2004
Minnesota,2921,70,122,1092,486987,8264,15590,123246,2004/10,10,October,2004
Illinois,3839,170,305,1215,717509,16448,25051,96315,2004/10,10,October,2004
Georgia,6331,82,115,1839,829744,8373,4928,113534,2004/10,10,October,2004
Arkansas,780,50,111,315,119492,3649,7808,17112,2004/10,10,October,2004
New Mexico,1019,6,22,46,156831,344,923,1769,2004/10,10,October,2004
Indiana,2742,202,95,427,438363,16279,6938,24978,2004/10,10,October,2004
Maryland,2069,6,14,594,297305,598,1093,39529,2004/10,10,October,2004
Texas,11223,450,258,2621,1497391,28115,10350,142575,2004/10,10,October,2004
Wyoming,194,4,18,17,30503,326,1602,936,2004/10,10,October,2004
Tennessee,2911,38,24,309,412815,3487,793,26473,2004/10,10,October,2004
Iowa,1084,38,61,328,170557,3792,2965,16583,2004/10,10,October,2004
Wisconsin,2504,244,181,743,419280,23832,15926,42600,2004/10,10,October,2004
Arizona,6123,52,42,788,982613,4516,3339,60134,2004/10,10,October,2004
Louisiana,1506,60,122,123,189024,4089,6650,7009,2004/10,10,October,2004
Michigan,4011,80,121,912,615921,6801,11490,57570,2004/10,10,October,2004
Kansas,716,42,13,16,120210,3637,1211,553,2004/10,10,October,2004
Utah,1725,6,73,201,260002,595,7805,16483,2004/10,10,October,2004
Virginia,3913,14,26,1380,574045,1460,1956,69648,2004/10,10,October,2004
Oregon,1638,46,109,637,299662,5109,9096,47733,2004/10,10,October,2004
Connecticut,764,16,3,124,152395,1426,288,6411,2004/10,10,October,2004
District of Columbia,9,0,0,206,2363,0,0,13646,2004/10,10,October,2004
New Hampshire,652,30,24,74,109987,3356,2029,5416,2004/10,10,October,2004
Massachusetts,1099,98,82,480,211676,9324,7679,38269,2004/10,10,October,2004
West Virginia,371,6,7,17,55791,458,400,1132,2004/10,10,October,2004
South Carolina,2626,36,74,483,374777,2268,4612,28117,2004/10,10,October,2004
Vermont,205,20,4,20,27876,1924,443,1548,2004/10,10,October,2004
Delaware,690,0,0,99,77163,0,0,2856,2004/10,10,October,2004
North Dakota,228,4,18,70,37656,491,1603,4808,2004/10,10,October,2004
California,11704,244,325,4368,2417335,23082,33389,431414,2004/10,10,October,2004
Pennsylvania,2655,52,175,245,425195,4395,12263,14562,2004/10,10,October,2004
Florida,14726,222,217,7574,2361204,18707,22430,693174,2004/10,10,October,2004
Kentucky,1548,16,58,363,206127,945,2429,12467,2004/10,10,October,2004
Rhode Island,136,6,6,8,22956,389,590,914,2004/10,10,October,2004
Nebraska,785,72,0,78,108063,6128,0,4286,2004/10,10,October,2004
Missouri,1964,116,111,145,286486,10090,8326,6779,2004/10,10,October,2004
Ohio,3376,218,163,638,578130,22614,13071,28943,2004/10,10,October,2004
Alabama,1688,12,0,141,200436,1056,0,14971,2004/10,10,October,2004
South Dakota,450,6,14,24,57488,803,679,1904,2004/10,10,October,2004
Alaska,98,24,18,52,19683,3488,1275,5993,2004/10,10,October,2004
Colorado,2833,30,72,351,549700,2486,7939,29224,2004/10,10,October,2004
Idaho,1275,26,73,46,190428,2432,2730,2874,2004/10,10,October,2004
New Jersey,1747,288,111,477,263415,27540,7624,30534,2004/10,10,October,2004
Washington,3140,56,102,968,517874,5343,9261,80129,2004/10,10,October,2004
North Carolina,5918,52,39,591,886885,4895,1694,40330,2004/10,10,October,2004
Maine,615,22,13,48,88850,2492,1226,4625,2004/10,10,October,2004
New York,2028,508,601,1694,389404,52882,50782,126190,2004/10,10,October,2004
Montana,169,32,91,64,24853,4064,5680,4143,2004/10,10,October,2004
Nevada,2114,4,60,296,294699,495,4179,16815,2004/10,10,October,2004
Hawaii,475,14,96,107,96892,1419,8819,21093,2004/10,10,October,2004
Mississippi,696,4,20,197,85625,185,1196,8777,2004/11,11,November,2004
Oklahoma,892,18,0,355,125170,1232,0,17926,2004/11,11,November,2004
Minnesota,2254,32,69,590,396598,3760,3979,65841,2004/11,11,November,2004
Illinois,3331,112,234,808,644986,10664,18569,82656,2004/11,11,November,2004
Georgia,5555,64,85,3620,772735,3628,4487,300017,2004/11,11,November,2004
Arkansas,671,12,19,132,97546,753,1111,4976,2004/11,11,November,2004
New Mexico,916,24,9,78,137276,1504,598,2990,2004/11,11,November,2004
Indiana,2704,116,74,185,448897,11493,10529,10651,2004/11,11,November,2004
Maryland,1726,76,7,630,255660,4190,524,41669,2004/11,11,November,2004
Texas,9544,138,151,2216,1312432,10166,9499,119197,2004/11,11,November,2004
Wyoming,179,4,16,12,26637,310,1498,575,2004/11,11,November,2004
Tennessee,2644,40,138,125,374706,5993,6505,8349,2004/11,11,November,2004
Iowa,1015,26,34,266,158011,3193,2378,21529,2004/11,11,November,2004
Wisconsin,2155,174,132,404,385540,17754,15227,28201,2004/11,11,November,2004
Arizona,5399,62,69,191,949420,4604,5037,11314,2004/11,11,November,2004
Louisiana,1443,84,16,232,176764,3819,857,12261,2004/11,11,November,2004
Michigan,3282,70,42,747,511429,6403,4575,60068,2004/11,11,November,2004
Kansas,729,90,4,72,116926,9008,300,3233,2004/11,11,November,2004
Utah,1657,30,89,320,242722,3673,7773,23057,2004/11,11,November,2004
Virginia,3249,44,96,577,480303,3448,8351,35824,2004/11,11,November,2004
Oregon,1462,74,36,77,283620,7411,2920,7067,2004/11,11,November,2004
Connecticut,1029,26,7,423,194734,2366,654,50620,2004/11,11,November,2004
District of Columbia,8,0,0,15,1070,0,0,1000,2004/11,11,November,2004
New Hampshire,478,16,18,94,88898,1613,1665,4583,2004/11,11,November,2004
Massachusetts,1089,78,88,718,230374,7727,7913,60969,2004/11,11,November,2004
West Virginia,346,8,0,0,45760,443,0,0,2004/11,11,November,2004
South Carolina,2743,34,35,530,372195,2037,2480,31192,2004/11,11,November,2004
Vermont,174,18,28,13,25015,1338,2535,1430,2004/11,11,November,2004
Delaware,606,0,0,6,73108,0,0,96,2004/11,11,November,2004
North Dakota,109,2,4,30,17888,305,566,2593,2004/11,11,November,2004
California,10962,214,544,5713,2243652,20576,58942,492342,2004/11,11,November,2004
Pennsylvania,2595,24,102,257,395704,2179,10373,15922,2004/11,11,November,2004
Florida,13048,206,348,3875,2123659,20276,29643,415118,2004/11,11,November,2004
Kentucky,1188,44,17,355,153639,2989,1782,22649,2004/11,11,November,2004
Rhode Island,152,20,0,52,26378,1715,0,4696,2004/11,11,November,2004
Nebraska,640,16,15,298,98244,1217,1284,18674,2004/11,11,November,2004
Missouri,1550,68,183,318,235928,5318,14194,17990,2004/11,11,November,2004
Ohio,2899,138,235,963,487312,13294,13728,52307,2004/11,11,November,2004
Alabama,1723,14,3,114,215151,992,430,12252,2004/11,11,November,2004
South Dakota,408,10,15,27,56425,1027,1292,2354,2004/11,11,November,2004
Alaska,83,20,0,36,15998,2957,0,4662,2004/11,11,November,2004
Colorado,2345,36,39,219,434976,5489,3878,18790,2004/11,11,November,2004
Idaho,1143,74,76,58,184844,8837,4626,3505,2004/11,11,November,2004
New Jersey,1717,326,91,552,268385,28164,5256,38736,2004/11,11,November,2004
Washington,2568,108,54,895,430232,11222,4792,79474,2004/11,11,November,2004
North Carolina,5425,124,66,1280,866202,10761,3084,83092,2004/11,11,November,2004
Maine,595,16,13,61,86030,1325,1080,4268,2004/11,11,November,2004
New York,1912,352,464,2778,359398,40005,41124,184885,2004/11,11,November,2004
Montana,202,28,84,121,25388,3382,3975,7449,2004/11,11,November,2004
Nevada,2480,0,49,135,330784,0,3096,8251,2004/11,11,November,2004
Hawaii,295,0,4,378,63029,0,367,29708,2004/11,11,November,2004
Mississippi,702,4,16,106,84263,110,1197,5331,2004/12,12,December,2004
Oklahoma,1117,10,84,284,159515,669,2205,13399,2004/12,12,December,2004
Minnesota,1978,22,119,1134,359517,3168,14345,111250,2004/12,12,December,2004
Illinois,2717,118,369,954,538860,11337,31216,84159,2004/12,12,December,2004
Georgia,6197,74,97,1891,858684,4770,6329,108083,2004/12,12,December,2004
Arkansas,728,74,82,517,110370,6948,5310,23611,2004/12,12,December,2004
New Mexico,855,2,81,81,131298,117,4425,4516,2004/12,12,December,2004
Indiana,2056,100,103,751,338457,9990,9393,49042,2004/12,12,December,2004
Maryland,1654,6,7,422,245618,829,524,27457,2004/12,12,December,2004
Texas,10070,168,186,1724,1414618,10467,10925,115218,2004/12,12,December,2004
Wyoming,163,4,18,16,21657,330,1602,784,2004/12,12,December,2004
Tennessee,2739,28,88,699,344791,1518,3232,41939,2004/12,12,December,2004
Iowa,708,18,13,60,109007,2221,1288,5047,2004/12,12,December,2004
Wisconsin,1701,152,71,441,292468,14545,6639,58694,2004/12,12,December,2004
Arizona,5535,26,95,1222,912625,2315,8417,94725,2004/12,12,December,2004
Louisiana,1330,28,12,181,181466,1964,707,10927,2004/12,12,December,2004
Michigan,2558,38,70,179,394001,2982,7459,17310,2004/12,12,December,2004
Kansas,789,140,49,64,132805,10491,4714,2846,2004/12,12,December,2004
Utah,1308,22,30,92,211340,2231,3525,6641,2004/12,12,December,2004
Virginia,3488,58,50,774,524022,4113,3390,56744,2004/12,12,December,2004
Oregon,1685,48,300,164,309321,4903,23599,14059,2004/12,12,December,2004
Connecticut,635,12,4,248,134923,591,100,15366,2004/12,12,December,2004
District of Columbia,6,0,0,103,664,0,0,9498,2004/12,12,December,2004
New Hampshire,431,16,13,34,80211,1538,1575,1767,2004/12,12,December,2004
Massachusetts,1050,226,38,1037,234545,20417,4036,92699,2004/12,12,December,2004
West Virginia,312,6,4,5,50809,509,180,226,2004/12,12,December,2004
South Carolina,2718,6,118,1274,385199,373,12345,99387,2004/12,12,December,2004
Vermont,148,8,8,6,21665,662,800,808,2004/12,12,December,2004
Delaware,556,0,0,61,61547,0,0,1193,2004/12,12,December,2004
North Dakota,105,2,4,22,21130,240,338,1524,2004/12,12,December,2004
California,10836,130,315,6555,2231921,15137,31085,567556,2004/12,12,December,2004
Pennsylvania,2200,38,95,464,364181,3081,8335,29074,2004/12,12,December,2004
Florida,13750,172,291,4761,2263055,13136,39388,513691,2004/12,12,December,2004
Kentucky,1027,22,31,281,131841,1274,1955,15180,2004/12,12,December,2004
Rhode Island,134,4,7,15,23848,224,551,664,2004/12,12,December,2004
Nebraska,599,6,0,213,89740,512,0,9216,2004/12,12,December,2004
Missouri,1888,150,83,251,287472,10723,4876,17222,2004/12,12,December,2004
Ohio,2408,84,288,222,435998,6134,21345,10037,2004/12,12,December,2004
Alabama,2104,0,3,431,272862,0,162,56240,2004/12,12,December,2004
South Dakota,224,6,3,73,29403,495,158,5163,2004/12,12,December,2004
Alaska,79,24,8,102,13978,3218,761,12168,2004/12,12,December,2004
Colorado,2726,36,95,765,487667,3793,9648,62120,2004/12,12,December,2004
Idaho,1171,26,37,90,188216,2660,2067,4618,2004/12,12,December,2004
New Jersey,1709,308,213,901,271011,25539,15013,70655,2004/12,12,December,2004
Washington,2493,110,124,1241,428432,10510,11968,100621,2004/12,12,December,2004
North Carolina,5735,90,42,1020,899958,7775,6362,62823,2004/12,12,December,2004
Maine,582,14,10,19,90984,1194,867,1796,2004/12,12,December,2004
New York,2003,340,545,1934,375338,28802,40727,123357,2004/12,12,December,2004
Montana,188,12,40,112,26884,1030,3082,9026,2004/12,12,December,2004
Nevada,2461,0,49,170,326814,0,3019,7748,2004/12,12,December,2004
Hawaii,350,6,20,138,76645,608,948,10241,2004/12,12,December,2004
Mississippi,832,16,15,15,97865,1081,905,499,2005/01,1,January,2005
Oklahoma,944,18,0,499,141974,1081,0,32434,2005/01,1,January,2005
Minnesota,1062,10,18,304,219858,1246,2861,29642,2005/01,1,January,2005
Illinois,2176,38,184,622,428661,4211,16774,44488,2005/01,1,January,2005
Georgia,6782,36,34,582,926099,2687,1860,30812,2005/01,1,January,2005
Arkansas,813,50,21,518,123796,4394,950,27387,2005/01,1,January,2005
New Mexico,881,30,36,123,129325,2040,2531,5452,2005/01,1,January,2005
Indiana,1511,48,62,372,248366,4580,3802,19034,2005/01,1,January,2005
Maryland,1343,10,13,183,220955,1426,1018,10651,2005/01,1,January,2005
Texas,10880,152,264,4551,1555708,11105,13262,247924,2005/01,1,January,2005
Wyoming,119,6,11,10,17114,698,1248,519,2005/01,1,January,2005
Tennessee,2839,68,21,398,392959,3266,2120,25064,2005/01,1,January,2005
Iowa,433,4,7,95,68810,203,581,7342,2005/01,1,January,2005
Wisconsin,1158,32,26,554,204243,3001,2735,48098,2005/01,1,January,2005
Arizona,5475,34,81,514,880113,3298,7323,42187,2005/01,1,January,2005
Louisiana,1955,18,0,100,235244,1199,0,3637,2005/01,1,January,2005
Michigan,2107,24,66,323,327524,2257,7603,18840,2005/01,1,January,2005
Kansas,507,12,16,58,88295,1465,1361,2475,2005/01,1,January,2005
Utah,1497,14,26,470,216726,1679,2769,38122,2005/01,1,January,2005
Virginia,3273,14,67,496,506914,1127,4832,32121,2005/01,1,January,2005
Oregon,1653,76,140,227,298845,8375,12188,15919,2005/01,1,January,2005
Connecticut,443,8,12,188,93856,488,1022,11871,2005/01,1,January,2005
District of Columbia,7,0,4,126,2026,0,201,8346,2005/01,1,January,2005
New Hampshire,371,36,3,87,65597,3450,219,8422,2005/01,1,January,2005
Massachusetts,811,60,47,626,171156,6027,4183,58138,2005/01,1,January,2005
West Virginia,356,2,3,94,51071,59,135,6130,2005/01,1,January,2005
South Carolina,2937,26,40,1003,405691,1865,3444,89608,2005/01,1,January,2005
Vermont,87,8,3,11,14148,688,364,759,2005/01,1,January,2005
Delaware,562,0,0,10,64735,0,0,160,2005/01,1,January,2005
North Dakota,10,0,3,11,1764,0,351,1221,2005/01,1,January,2005
California,9564,124,158,4232,1909430,13313,15455,386905,2005/01,1,January,2005
